name,background,water,road,text
White-red-water,#f0f0f0,#e34a33,#636363,#000
Alcatec,#FFFFFF,#47434C,#FF5400,#39363D
Accesible-beige,#FFFDFA,#5A7284,#847967,#000
Azure,#F2E4B1,#58B7B8,#12403E,#000
Azure-red-text,#F2E4B1,#58B7B8,#12403E,#DF6127
Forest-land,#C0DE88,#0D2127,#265B40,#fff
Midnight-blue,#A3003C,#2E4585,#DBDBDB,#fff
Dark-blue,#233D4D,#A1C181,#FE7F2D,#fff
Steel-gold,#353B40,#BFCBE4,#DDBB3B,#fff
Shiny,#FFDA1F,#028CC7,#3E3A71,#fff
Phaedra,#FF6138,#BEEB9F,#FFFF9D,#fff
Deep-purple,#3B2B3D,#ECAC3E,#EDEDED,#fff
Firenze,#FFF0A5,#FFB03B,#468966,#000